Column1,Will (bigger net),Last Max
245,0.8068,0.8078
246,0.8015,0.8078
247,0.8049,0.8078
248,0.8039,0.8078
249,0.8078,0.8078
250,0.8029,0.8078
251,0.8042,0.8078
252,0.8009,0.8078
253,0.8046,0.8078
254,0.8059,0.8078
255,0.8057,0.8078
256,0.803,0.8078
257,0.8054,0.8078
258,0.801,0.8078
259,0.8063,0.8078
260,0.8069,0.8078
261,0.8047,0.8078
262,0.8018,0.8078
263,0.8035,0.8078
264,0.8025,0.8078
265,0.8044,0.8078
266,0.8056,0.8078
267,0.8037,0.8078
268,0.8047,0.8078
269,0.8072,0.8078
270,0.8056,0.8078
271,0.8048,0.8078
272,0.8034,0.8078
273,0.8081,0.8081
274,0.7998,0.8081
275,0.8082,0.8082
276,0.8034,0.8082
277,0.8022,0.8082
278,0.803,0.8082
279,0.8019,0.8082
280,0.8057,0.8082
281,0.8041,0.8082
282,0.8037,0.8082
283,0.8047,0.8082
284,0.806,0.8082
285,0.8048,0.8082
286,0.803,0.8082
287,0.805,0.8082
288,0.8006,0.8082
289,0.8035,0.8082
290,0.8049,0.8082
291,0.8104,0.8104
292,0.8079,0.8104
293,0.7997,0.8104
294,0.8037,0.8104
295,0.805,0.8104
296,0.8025,0.8104
297,0.8066,0.8104
298,0.807,0.8104
299,0.8033,0.8104
300,0.8033,0.8104
301,0.8019,0.8104
302,0.8018,0.8104
303,0.805,0.8104
304,0.8044,0.8104
305,0.8077,0.8104
306,0.8056,0.8104
307,0.8054,0.8104
308,0.8038,0.8104
309,0.8049,0.8104
310,0.8024,0.8104
311,0.8071,0.8104
312,0.807,0.8104
313,0.8084,0.8104
314,0.8051,0.8104
315,0.7998,0.8104
316,0.8056,0.8104
317,0.8065,0.8104
318,0.8087,0.8104
319,0.8044,0.8104
320,0.8031,0.8104
321,0.8042,0.8104
322,0.8066,0.8104
323,0.8091,0.8104
324,0.8071,0.8104
325,0.809,0.8104
326,0.8045,0.8104
327,0.8063,0.8104
328,0.8049,0.8104
329,0.8063,0.8104
330,0.8016,0.8104
331,0.8059,0.8104
332,0.8061,0.8104
333,0.8051,0.8104
334,0.8055,0.8104
335,0.8022,0.8104
336,0.803,0.8104
337,0.8069,0.8104
338,0.8041,0.8104
339,0.8082,0.8104
340,0.804,0.8104
341,0.8048,0.8104
342,0.8072,0.8104
343,0.8046,0.8104
344,0.8035,0.8104
345,0.8072,0.8104
346,0.805,0.8104
347,0.8075,0.8104
348,0.8053,0.8104
349,0.8047,0.8104
